consensus,batch,tps,orderer_count,round_label,phase,role,reps,cpu_avg_mean,traffic_in_mbps,traffic_out_mbps,disk_write_mb_sum
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,3.9799999999999995,2.0520000000000005,2.510133333333333,32.28
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,3.9239999999999995,2.0536000000000003,2.514933333333333,31.640000000000004
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.437,23.770666666666664,28.615199999999998,301.76000000000005
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.2817142857142857,39.050666666666665,43.895466666666664,527.8000000000001
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.21339999999999998,53.965333333333334,58.763999999999996,756.98
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,orderer,5,2.309,37.767999999999994,28.065866666666665,292.08000000000004
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,orderer,5,2.3902857142857146,72.36266666666666,48.14426666666667,511.0
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,orderer,5,2.4703999999999997,113.57066666666667,74.76533333333333,730.0
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,peer,5,2.6700000000000004,23.0,15.252266666666667,82.4
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,peer,5,2.9539999999999997,23.026666666666664,15.253066666666665,82.4
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,peer,5,2.957,23.0,15.250933333333332,82.4
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,peer,5,3.714,23.533333333333335,30.293866666666666,82.36
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,peer,5,3.9560000000000004,23.968,45.24666666666667,82.2
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,peer,5,4.4,24.346666666666668,60.10133333333333,82.2
