consensus,batch,tps,orderer_count,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,4,submitEvidence,SUBMIT,3,orderer,4,0.4525,225.4,271.6,388.4,60,30.053333333333335,36.21333333333334
Raft,100,100,4,submitEvidence,SUBMIT,3,peer,2,3.175,205.0,157.9,98.6,60,27.333333333333332,21.053333333333335
Raft,100,100,4,submitEvidence,SUBMIT,4,ca,3,0.0,0.0007869999999999999,0.0,0.0,60,0.00010493333333333333,0.0
Raft,100,100,4,submitEvidence,SUBMIT,4,chaincode,2,1.09,31.30415,23.203799999999998,0.0,60,4.173886666666666,3.0938399999999997
Raft,100,100,4,submitEvidence,SUBMIT,4,couchdb,2,3.3200000000000003,27.5,11.16,41.4,60,3.6666666666666665,1.488
Raft,100,100,4,submitEvidence,SUBMIT,4,orderer,4,0.4325,225.3,271.8,388.4,60,30.040000000000003,36.24
Raft,100,100,4,submitEvidence,SUBMIT,4,peer,2,2.87,205.0,157.9,98.6,60,27.333333333333332,21.053333333333335
Raft,100,100,4,submitEvidence,SUBMIT,5,ca,3,0.0,0.00396,0.0,0.0,60,0.000528,0.0
Raft,100,100,4,submitEvidence,SUBMIT,5,chaincode,2,1.055,31.30508,23.203699999999998,0.0,60,4.174010666666667,3.0938266666666663
Raft,100,100,4,submitEvidence,SUBMIT,5,couchdb,2,3.225,27.5,11.17,41.4,60,3.6666666666666665,1.4893333333333334
Raft,100,100,4,submitEvidence,SUBMIT,5,orderer,4,0.405,224.7,270.8,388.8,60,29.959999999999997,36.10666666666667
Raft,100,100,4,submitEvidence,SUBMIT,5,peer,2,3.2,204.9,157.9,98.6,60,27.32,21.053333333333335
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,0.0014429999999999998,0.0,0.0,60,0.0001924,0.0
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,1.005,18.90412,20.50364,0.0,60,2.5205493333333333,2.7338186666666666
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,1.555,15.43,18.83,33.4,60,2.0573333333333332,2.5106666666666664
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,1,orderer,7,0.25142857142857145,293.0,329.44,527.8000000000001,60,39.06666666666667,43.925333333333334
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,2.625,172.5,114.4,82.4,60,23.0,15.253333333333334
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.0007869999999999999,0.0,0.0,60,0.00010493333333333333,0.0
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,1.03,19.00402,20.803720000000002,0.0,60,2.5338693333333335,2.7738293333333335
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,1.3499999999999999,15.35,18.83,33.4,60,2.0466666666666664,2.5106666666666664
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,2,orderer,7,0.2714285714285714,292.9,328.7,527.8000000000001,60,39.05333333333333,43.82666666666667
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,2.375,173.5,114.39,82.4,60,23.133333333333333,15.252
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.002163,0.0,0.0,60,0.0002884,0.0
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,1.095,18.80449,20.50376,0.0,60,2.5072653333333337,2.7338346666666666
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,3.835,15.469999999999999,18.83,33.4,60,2.0626666666666664,2.5106666666666664
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,3,orderer,7,0.2785714285714286,292.7,329.25,527.8000000000001,60,39.026666666666664,43.9
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,3.1999999999999997,172.5,114.41,82.4,60,23.0,15.254666666666667
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.00108,0.0,0.0,60,0.000144,0.0
