scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_k1_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.31,0.87,2.02,98.1,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,2.02,6005,0.0
Raft_b100_tps100_k1_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.25,0.8,1.94,97.5,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,1.94,6005,0.0
Raft_b100_tps100_k1_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.85,0.61,1.72,97.8,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,1.72,6005,0.0
Raft_b100_tps100_k1_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.39,0.57,2.0,97.9,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,2.0,6005,0.0
Raft_b100_tps100_k1_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.85,0.42,1.6,97.9,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,1.6,6005,0.0
Raft_b100_tps100_k1_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.0,3.09,0.81,1.92,97.6,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,1.92,6005,0.0
Raft_b100_tps100_k1_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.94,0.63,1.75,97.6,Raft_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k1_unsplit_highimpact-nested,1.75,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.65,0.49,1.54,98.0,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.54,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.79,0.61,1.68,97.7,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.68,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.0,3.07,0.73,1.88,97.7,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.88,6005,0.0
