scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,1,chaincode,2,1.1,4.77,61.55,73.2,31.40516,23.20468,0.0,0.0,62.173913043478265,4.040943664335664,2.9857770069930067,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,1,couchdb,2,3.525,6.36,61.400000000000006,65.4,27.5,11.33,48.6,0.0,62.173913043478265,3.5384615384615383,1.4578461538461538,0.7816783216783216
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,1,orderer,4,0.47750000000000004,0.97,126.75,178.0,225.4,271.9,380.8,0.0,62.173913043478265,29.002517482517483,34.98573426573426,6.124755244755245
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,1,peer,2,3.1799999999999997,6.81,205.0,245.0,206.1,159.0,99.8,0.0,62.173913043478265,26.519160839160836,20.458741258741256,1.605174825174825
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,2,ca,3,0.0,0.0,10.206666666666667,11.0,0.0007869999999999999,0.0,0.0,0.0,62.099276111685626,0.00010138604496253121,0.0,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,2,chaincode,2,1.155,4.91,60.800000000000004,72.7,31.405089999999998,23.20468,0.0,0.0,62.099276111685626,4.045791444462947,2.989365603330558,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,2,couchdb,2,3.59,6.8,61.349999999999994,65.8,27.5,11.33,49.0,0.0,62.099276111685626,3.542714404662781,1.4595983347210657,0.7890591174021648
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,2,orderer,4,0.5075000000000001,0.89,128.0,170.0,225.0,271.0,380.8,0.0,62.099276111685626,28.98584512905912,34.91184013322231,6.132116569525396
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,2,peer,2,3.005,6.59,206.0,253.0,206.1,159.0,99.8,0.0,62.099276111685626,26.55103413821815,20.48333055786844,1.6071040799333889
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,3,ca,3,0.0,0.0,10.433333333333332,11.1,0.0,0.0,0.0,0.0,62.16356107660456,0.0,0.0,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,3,chaincode,2,1.115,4.48,61.7,74.3,31.404889999999998,23.20479,0.0,0.0,62.16356107660456,4.041581847127393,2.9862883783513734,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,3,couchdb,2,3.6550000000000002,6.11,61.400000000000006,66.6,27.5,11.32,48.8,0.0,62.16356107660456,3.5390507910074933,1.456801998334721,0.7850258118234803
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,3,orderer,4,0.5,0.97,129.5,172.0,225.8,271.7,380.8,0.0,62.16356107660456,29.05882431307244,34.96582181515404,6.12577518734388
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,3,peer,2,3.265,6.85,205.5,254.0,206.1,159.0,99.8,0.0,62.16356107660456,26.523577019150704,20.462148209825145,1.6054421315570357
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,4,ca,3,0.0,0.0,10.333333333333334,10.7,0.00108,0.0,0.0,0.0,62.2279792746114,0.0001388442964196503,0.0,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,4,chaincode,2,1.135,4.56,62.150000000000006,74.2,31.205379999999998,23.104850000000003,0.0,0.0,62.2279792746114,4.0117491024146545,2.970348742714405,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,4,couchdb,2,3.535,5.8,61.65,65.6,27.6,11.32,48.8,0.0,62.2279792746114,3.5482431307243965,1.45529392173189,0.7842131557035803
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,4,orderer,4,0.51,0.88,129.0,172.0,225.2,271.7,380.8,0.0,62.2279792746114,28.95160699417152,34.9296253122398,6.119433805162365
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,4,peer,2,2.9,5.89,207.5,256.0,205.1,158.0,99.6,0.0,62.2279792746114,26.367560366361364,20.31240632805995,1.6005661948376353
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,5,ca,3,0.0,0.0,10.416666666666666,11.1,0.00108,0.0,0.0,0.0,62.16356107660456,0.00013898817651956702,0.0,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,5,chaincode,2,1.1,3.42,61.75,74.4,31.30528,23.20467,0.0,0.0,62.16356107660456,4.028762761698585,2.9862729352206494,0.0
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,5,couchdb,2,3.66,6.62,62.0,66.5,27.5,11.32,48.8,0.0,62.16356107660456,3.5390507910074933,1.456801998334721,0.7850258118234803
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,5,orderer,4,0.52,0.87,132.0,181.0,225.5,271.8,380.8,0.0,62.16356107660456,29.020216486261447,34.9786910907577,6.12577518734388
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,5,peer,2,3.215,8.0,205.0,251.0,206.1,158.0,99.6,0.0,62.16356107660456,26.523577019150704,20.33345545378851,1.6022248126561196
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,0.01,9.12,11.0,0.00072,0.0,0.0,0.0,62.14630779848171,9.268450860632983e-05,0.0,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,1.645,6.17,74.80000000000001,77.2,27.70485,30.60454,0.0,0.0,62.14630779848171,3.5664033448084402,3.9396760430871742,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,4.48,8.37,55.849999999999994,58.7,23.4,29.3,62.4,0.0,62.14630779848171,3.012246529705719,3.771744586340922,1.004082176568573
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.8175,1.55,180.0,190.0,267.3,322.5,448.0,0.0,62.14630779848171,34.40912382009995,41.514936146585235,7.208795113825653
