consensus,batch,tps,round_label,phase,role,cpu_avg_mean__n,cpu_avg_mean__mean,cpu_avg_mean__ci95_low,cpu_avg_mean__ci95_high,cpu_max_peak__n,cpu_max_peak__mean,cpu_max_peak__ci95_low,cpu_max_peak__ci95_high,mem_avg_mb_mean__n,mem_avg_mb_mean__mean,mem_avg_mb_mean__ci95_low,mem_avg_mb_mean__ci95_high,mem_max_mb_peak__n,mem_max_mb_peak__mean,mem_max_mb_peak__ci95_low,mem_max_mb_peak__ci95_high,traffic_in_mb_sum__n,traffic_in_mb_sum__mean,traffic_in_mb_sum__ci95_low,traffic_in_mb_sum__ci95_high,traffic_out_mb_sum__n,traffic_out_mb_sum__mean,traffic_out_mb_sum__ci95_low,traffic_out_mb_sum__ci95_high,traffic_in_mbps__n,traffic_in_mbps__mean,traffic_in_mbps__ci95_low,traffic_in_mbps__ci95_high,traffic_out_mbps__n,traffic_out_mbps__mean,traffic_out_mbps__ci95_low,traffic_out_mbps__ci95_high,disk_write_mb_sum__n,disk_write_mb_sum__mean,disk_write_mb_sum__ci95_low,disk_write_mb_sum__ci95_high,disk_write_mb_per_s__n,disk_write_mb_per_s__mean,disk_write_mb_per_s__ci95_low,disk_write_mb_per_s__ci95_high,disk_read_b_sum__n,disk_read_b_sum__mean,disk_read_b_sum__ci95_low,disk_read_b_sum__ci95_high
Raft,300,150,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.118666666666666,9.885699412902918,10.351633920430414,5.0,10.959999999999999,10.552012988442034,11.367987011557965,5.0,0.0023946,0.0014604404860242767,0.0033287595139757237,5.0,0.0,0.0,0.0,5.0,0.0003090050019641904,0.0001886756152306929,0.00042933438869768793,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,300,200,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.19,9.888122852125424,10.491877147874575,5.0,10.940000000000001,10.682564350565041,11.197435649434961,5.0,0.00078196,-0.0007062095634238329,0.002270129563423833,5.0,0.0,0.0,0.0,5.0,0.00010021284351285978,-9.083682893833301e-05,0.00029126251596405255,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,10,50,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.079333333333333,10.00339959819831,10.155267068468355,5.0,11.06,10.761015649907893,11.358984350092108,5.0,0.0006033200000000001,-0.000979321200275046,0.002185961200275046,5.0,0.0,0.0,0.0,5.0,7.773423553337033e-05,-0.000126195181933916,0.0002816636530006566,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,10,100,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.008,-0.005599567051932203,0.0215995670519322,5.0,10.103333333333333,9.834492546877442,10.372174119789225,5.0,11.02,10.781199450586897,11.258800549413102,5.0,0.0026246,0.0011601407815734301,0.004089059218426569,5.0,0.0,0.0,0.0,5.0,0.00023525893755203998,0.00011407090832318347,0.0003564469667808965,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,10,150,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.012,-0.001599567051932203,0.025599567051932205,5.0,10.142,9.98370037312601,10.300299626873988,5.0,10.86,10.634476693887304,11.085523306112695,5.0,0.0024870000000000005,0.0007125053215051903,0.004261494678494811,5.0,0.0,0.0,0.0,5.0,0.0003041820472694626,8.727111352858078e-05,0.0005210929810103445,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,10,200,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.036,-0.01094641984219883,0.08294641984219883,5.0,9.464,9.250683069030558,9.677316930969443,5.0,10.680000000000001,10.335507459587296,11.024492540412707,5.0,0.0038070000000000005,0.0029218781570518105,0.00469212184294819,5.0,0.0,0.0,0.0,5.0,0.002868306995227301,0.0018378250053376858,0.0038987889851169162,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,100,50,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.099333333333334,9.897038450730953,10.301628215935715,5.0,11.02,10.781199450586897,11.258800549413102,5.0,0.0007206000000000001,-0.000375664718840919,0.0018168647188409191,5.0,0.0,0.0,0.0,5.0,9.442374708818636e-05,-4.9166865348790423e-05,0.00023801435952516316,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,100,100,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.274,10.147482871539946,10.400517128460052,5.0,10.940000000000001,10.773440000000003,11.10656,5.0,0.0006219999999999999,-0.0006645913995919602,0.00190859139959196,5.0,0.0,0.0,0.0,5.0,8.011057452123231e-05,-8.563301463652037e-05,0.00024585416367898497,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,100,150,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.002,-0.0035519999999999996,0.007552,5.0,10.109333333333334,9.804051856560758,10.41461481010591,5.0,10.9,10.608850663747967,11.191149336252034,5.0,0.00045876,-2.538249872125213e-05,0.0009429024987212521,5.0,0.0,0.0,0.0,5.0,5.865914199240628e-05,-3.2442165586770965e-06,0.00012056250054348966,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,100,200,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.016,0.001845121830266432,0.03015487816973357,5.0,9.982666666666669,9.635840672961852,10.329492660371486,5.0,10.84,10.698451218302663,10.981548781697336,5.0,0.00143936,-0.0005462325020039957,0.003424952502003996,5.0,0.0,0.0,0.0,5.0,0.0001463584092484771,-5.400383881269154e-05,0.00034672065730964575,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,300,50,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.858,9.584993733060129,10.131006266939872,5.0,10.92,10.62360430772361,11.21639569227639,5.0,0.00032808,-0.00011993611408916798,0.000776096114089168,5.0,0.0,0.0,0.0,5.0,4.276656772046589e-05,-1.5606307981616487e-05,0.00010113944342254827,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
