scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_profile,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_k3_unsplit_limited-impact,2,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,19.61,0.36,5.47,97.2,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,5.47,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,3,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.02,0.29,0.87,96.7,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,0.87,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,3,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.18,0.32,0.87,96.6,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,0.87,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,4,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.13,0.29,0.85,96.7,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,0.85,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,4,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.17,0.31,0.88,96.6,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,0.88,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,5,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,11.64,0.45,1.43,96.6,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,1.43,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,5,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.12,0.23,0.76,96.7,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,0.76,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,2094,3911,100.1,60.02,0.44,27.8,53.6,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,27.8,6005,0.6512905911740217
SmartBFT_b100_tps100_k3_unsplit_high-impact,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,2205,3800,100.1,60.0,0.38,31.17,54.5,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,31.17,6005,0.6328059950041632
SmartBFT_b100_tps100_k3_unsplit_high-impact,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,1070,4935,100.1,2.28,0.62,1.27,50.0,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,1.27,6005,0.8218151540383014
SmartBFT_b100_tps100_k3_unsplit_high-impact,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,2035,3970,100.1,60.01,0.45,27.09,53.2,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,27.09,6005,0.6611157368859284
SmartBFT_b100_tps100_k3_unsplit_high-impact,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,1070,4935,100.1,1.76,0.58,1.17,50.0,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,1.17,6005,0.8218151540383014
SmartBFT_b100_tps100_k3_unsplit_high-impact,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,975,5030,100.1,1.7,0.35,0.99,50.0,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,0.99,6005,0.8376353039134055
SmartBFT_b100_tps100_k3_unsplit_high-impact,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,1960,4045,100.1,59.99,0.46,26.2,53.1,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,26.2,6005,0.6736053288925895
SmartBFT_b100_tps100_k3_unsplit_high-impact,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,1835,4170,100.1,60.0,0.62,24.51,52.7,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,24.51,6005,0.694421315570358
SmartBFT_b100_tps100_k3_unsplit_high-impact,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,1070,4935,100.1,1.79,0.52,1.18,50.0,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,1.18,6005,0.8218151540383014
SmartBFT_b100_tps100_k3_unsplit_high-impact,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,2195,3810,100.1,60.03,0.45,29.11,54.1,SmartBFT_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_high-impact,29.11,6005,0.6344712739383847
SmartBFT_b100_tps100_k3_unsplit_limited-impact,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.46,0.45,1.18,96.7,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,1.18,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.36,0.37,0.92,96.6,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,0.92,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.52,0.41,1.1,96.4,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,1.1,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6004,0,100.0,3.44,0.52,1.22,95.9,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,1.22,6004,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.0,24.33,0.45,13.07,96.2,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,13.07,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.73,0.47,1.05,96.2,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,1.05,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.63,0.55,1.33,96.4,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,1.33,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.42,0.4,0.99,96.6,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,0.99,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.96,0.41,1.08,97.0,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,1.08,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_limited-impact,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,60.58,0.43,37.25,69.5,SmartBFT_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_limited-impact,37.25,6005,0.0
