consensus,batch,tps,fault_profile,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,high-impact,submitEvidence,UNSPLIT,2,peer,2,16.300294,262.224,205.952,123.188,60,34.9632,27.460266666666666
Raft,100,100,high-impact,submitEvidence,UNSPLIT,3,ca,3,0.00020866666666666668,0.003,0.0,0.0,60,0.0004,0.0
Raft,100,100,high-impact,submitEvidence,UNSPLIT,3,chaincode,2,8.065156499999999,40.694,30.2289,0.0,60,5.425866666666667,4.03052
Raft,100,100,high-impact,submitEvidence,UNSPLIT,3,couchdb,2,21.640469,36.242000000000004,14.943999999999999,62.129999999999995,60,4.832266666666667,1.9925333333333333
Raft,100,100,high-impact,submitEvidence,UNSPLIT,3,orderer,10,1.5192185999999999,543.506,609.8629999999999,988.153,60,72.46746666666667,81.31506666666665
Raft,100,100,high-impact,submitEvidence,UNSPLIT,3,peer,2,17.3110935,269.154,207.193,130.788,60,35.8872,27.625733333333336
Raft,100,100,high-impact,submitEvidence,UNSPLIT,4,ca,3,0.0013333333333333333,0.0052,0.0,0.0,60,0.0006933333333333333,0.0
Raft,100,100,high-impact,submitEvidence,UNSPLIT,4,chaincode,2,7.5705,40.983000000000004,30.311899999999998,0.0,60,5.4644,4.041586666666666
Raft,100,100,high-impact,submitEvidence,UNSPLIT,4,couchdb,2,21.313499999999998,36.242000000000004,14.863999999999999,61.730000000000004,60,4.832266666666667,1.9818666666666664
Raft,100,100,high-impact,submitEvidence,UNSPLIT,4,orderer,10,1.6797668000000001,543.635,605.875,986.78,60,72.48466666666667,80.78333333333333
Raft,100,100,high-impact,submitEvidence,UNSPLIT,4,peer,2,18.280667,270.08799999999997,208.10199999999998,130.788,60,36.01173333333333,27.74693333333333
Raft,100,100,high-impact,submitEvidence,UNSPLIT,5,ca,3,0.0003333333333333333,0.0049,0.0,0.0,60,0.0006533333333333333,0.0
