scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
SmartBFT_b10_tps50,1,SUBMIT,SmartBFT,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.15,0.13,0.24,48.4,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,240.0
SmartBFT_b10_tps50,2,SUBMIT,SmartBFT,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.14,0.13,0.23,48.4,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,230.0
SmartBFT_b10_tps50,3,SUBMIT,SmartBFT,10,50,submitEvidence,submitEvidence,3006,0,50.0,2.15,0.13,0.25,48.4,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,250.0
SmartBFT_b10_tps50,4,SUBMIT,SmartBFT,10,50,submitEvidence,submitEvidence,3006,0,50.0,2.2,0.16,0.31,48.3,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,310.0
SmartBFT_b10_tps50,5,SUBMIT,SmartBFT,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.27,0.15,0.32,48.3,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,320.0
SmartBFT_b10_tps50,1,RETRIEVE,SmartBFT,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.11,0.12,0.22,48.4,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,220.0
SmartBFT_b10_tps50,2,RETRIEVE,SmartBFT,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.15,0.12,0.22,48.4,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,220.0
SmartBFT_b10_tps50,3,RETRIEVE,SmartBFT,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.1,0.12,0.21,48.4,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,210.0
SmartBFT_b10_tps50,4,RETRIEVE,SmartBFT,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.21,0.14,0.34,48.3,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,340.0
SmartBFT_b10_tps50,5,RETRIEVE,SmartBFT,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.4,0.14,0.28,48.2,SmartBFT_b10_tps50_summary_metrics.csv,SmartBFT_b10_tps50,280.0
SmartBFT_b10_tps100,1,SUBMIT,SmartBFT,10,100,submitEvidence,submitEvidence,6005,0,100.1,36.58,0.19,24.69,62.6,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,24690.0
SmartBFT_b10_tps100,2,SUBMIT,SmartBFT,10,100,submitEvidence,submitEvidence,6005,0,100.1,17.78,0.29,11.71,78.4,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,11710.0
SmartBFT_b10_tps100,3,SUBMIT,SmartBFT,10,100,submitEvidence,submitEvidence,6005,0,100.1,30.05,0.2,19.12,66.9,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,19120.0
SmartBFT_b10_tps100,4,SUBMIT,SmartBFT,10,100,submitEvidence,submitEvidence,6005,0,100.1,28.0,0.18,17.96,68.6,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,17960.0
SmartBFT_b10_tps100,5,SUBMIT,SmartBFT,10,100,submitEvidence,submitEvidence,6005,0,100.1,29.26,0.27,19.17,67.4,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,19170.0
SmartBFT_b10_tps100,1,RETRIEVE,SmartBFT,10,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,27.35,0.18,17.83,69.1,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,17830.0
SmartBFT_b10_tps100,2,RETRIEVE,SmartBFT,10,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,17.38,0.14,10.14,78.4,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,10140.0
SmartBFT_b10_tps100,3,RETRIEVE,SmartBFT,10,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,29.67,0.25,20.28,67.4,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,20280.0
SmartBFT_b10_tps100,4,RETRIEVE,SmartBFT,10,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,17.96,0.14,10.79,79.1,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,10790.0
SmartBFT_b10_tps100,5,RETRIEVE,SmartBFT,10,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,30.06,0.17,19.38,66.7,SmartBFT_b10_tps100_summary_metrics.csv,SmartBFT_b10_tps100,19380.0
SmartBFT_b10_tps150,1,SUBMIT,SmartBFT,10,150,submitEvidence,submitEvidence,4276,4729,150.1,60.35,0.23,39.76,74.8,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,39760.0
SmartBFT_b10_tps150,2,SUBMIT,SmartBFT,10,150,submitEvidence,submitEvidence,4976,4027,150.0,60.48,0.22,39.94,74.8,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,39940.0
SmartBFT_b10_tps150,3,SUBMIT,SmartBFT,10,150,submitEvidence,submitEvidence,5171,3834,150.1,60.4,0.21,40.79,74.8,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,40790.0
SmartBFT_b10_tps150,4,SUBMIT,SmartBFT,10,150,submitEvidence,submitEvidence,7012,1993,150.1,60.42,0.23,40.67,74.9,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,40670.0
SmartBFT_b10_tps150,5,SUBMIT,SmartBFT,10,150,submitEvidence,submitEvidence,3348,5657,150.0,60.56,0.31,39.31,74.7,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,39310.0
SmartBFT_b10_tps150,1,RETRIEVE,SmartBFT,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3775,5225,149.9,61.05,0.19,41.75,74.9,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,41750.0
SmartBFT_b10_tps150,2,RETRIEVE,SmartBFT,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,2331,6674,150.1,60.63,0.21,34.98,74.8,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,34980.0
SmartBFT_b10_tps150,3,RETRIEVE,SmartBFT,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3910,5095,150.1,60.56,0.24,41.24,74.9,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,41240.0
SmartBFT_b10_tps150,4,RETRIEVE,SmartBFT,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,2911,6090,150.0,60.55,0.22,37.24,74.7,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,37240.0
SmartBFT_b10_tps150,5,RETRIEVE,SmartBFT,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3539,5463,150.0,61.02,0.24,40.27,74.8,SmartBFT_b10_tps150_summary_metrics.csv,SmartBFT_b10_tps150,40270.0
SmartBFT_b10_tps200,1,SUBMIT,SmartBFT,10,200,submitEvidence,submitEvidence,1610,10395,199.9,61.04,0.17,34.84,99.4,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,34840.0
SmartBFT_b10_tps200,2,SUBMIT,SmartBFT,10,200,submitEvidence,submitEvidence,820,11185,200.1,61.3,0.25,28.28,97.8,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,28280.0
SmartBFT_b10_tps200,3,SUBMIT,SmartBFT,10,200,submitEvidence,submitEvidence,1210,10793,200.0,60.81,0.2,34.44,99.1,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,34440.0
SmartBFT_b10_tps200,4,SUBMIT,SmartBFT,10,200,submitEvidence,submitEvidence,980,11025,200.1,61.23,0.23,36.44,98.4,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,36440.0
SmartBFT_b10_tps200,5,SUBMIT,SmartBFT,10,200,submitEvidence,submitEvidence,910,11095,200.1,61.03,0.24,29.04,98.0,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,29040.0
SmartBFT_b10_tps200,1,RETRIEVE,SmartBFT,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,926,11060,199.7,60.62,0.35,27.23,98.2,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,27230.0
SmartBFT_b10_tps200,2,RETRIEVE,SmartBFT,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,610,11379,199.3,60.8,0.29,16.57,96.4,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,16570.0
SmartBFT_b10_tps200,3,RETRIEVE,SmartBFT,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,492,11504,199.6,61.22,0.51,21.58,97.0,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,21580.0
SmartBFT_b10_tps200,4,RETRIEVE,SmartBFT,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,478,11442,198.7,61.09,0.38,23.92,97.6,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,23920.0
SmartBFT_b10_tps200,5,RETRIEVE,SmartBFT,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,250,11735,199.5,59.72,0.25,17.73,94.9,SmartBFT_b10_tps200_summary_metrics.csv,SmartBFT_b10_tps200,17730.0
SmartBFT_b100_tps50,1,SUBMIT,SmartBFT,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.26,0.22,1.27,49.3,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1270.0
SmartBFT_b100_tps50,2,SUBMIT,SmartBFT,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.5,0.31,1.49,49.1,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1490.0
SmartBFT_b100_tps50,3,SUBMIT,SmartBFT,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.38,0.25,1.4,49.2,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1400.0
SmartBFT_b100_tps50,4,SUBMIT,SmartBFT,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.28,0.29,1.29,49.3,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1290.0
SmartBFT_b100_tps50,5,SUBMIT,SmartBFT,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.39,0.29,1.33,49.2,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1330.0
SmartBFT_b100_tps50,1,RETRIEVE,SmartBFT,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.23,0.19,1.23,49.3,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1230.0
SmartBFT_b100_tps50,2,RETRIEVE,SmartBFT,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.52,0.35,1.44,49.3,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1440.0
SmartBFT_b100_tps50,3,RETRIEVE,SmartBFT,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.34,0.3,1.33,49.3,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1330.0
SmartBFT_b100_tps50,4,RETRIEVE,SmartBFT,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.23,0.25,1.23,49.3,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1230.0
SmartBFT_b100_tps50,5,RETRIEVE,SmartBFT,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.32,0.27,1.3,49.4,SmartBFT_b100_tps50_summary_metrics.csv,SmartBFT_b100_tps50,1300.0
SmartBFT_b100_tps100,1,SUBMIT,SmartBFT,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.33,0.37,0.95,96.7,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,950.0
SmartBFT_b100_tps100,2,SUBMIT,SmartBFT,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.46,0.41,1.09,96.7,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,1090.0
SmartBFT_b100_tps100,3,SUBMIT,SmartBFT,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.26,0.37,0.96,97.1,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,960.0
SmartBFT_b100_tps100,4,SUBMIT,SmartBFT,100,100,submitEvidence,submitEvidence,6005,0,100.0,2.25,0.37,1.05,97.1,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,1050.0
SmartBFT_b100_tps100,5,SUBMIT,SmartBFT,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.45,0.46,1.06,96.6,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,1060.0
SmartBFT_b100_tps100,1,RETRIEVE,SmartBFT,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.32,0.32,0.89,97.0,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,890.0
SmartBFT_b100_tps100,2,RETRIEVE,SmartBFT,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.33,0.35,0.96,96.9,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,960.0
SmartBFT_b100_tps100,3,RETRIEVE,SmartBFT,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.28,0.27,0.81,97.0,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,810.0
SmartBFT_b100_tps100,4,RETRIEVE,SmartBFT,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.23,0.28,0.8,97.0,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,800.0
SmartBFT_b100_tps100,5,RETRIEVE,SmartBFT,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.4,0.32,0.96,97.0,SmartBFT_b100_tps100_summary_metrics.csv,SmartBFT_b100_tps100,960.0
SmartBFT_b100_tps150,1,SUBMIT,SmartBFT,100,150,submitEvidence,submitEvidence,9006,0,150.0,2.45,0.51,1.2,144.3,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1200.0
SmartBFT_b100_tps150,2,SUBMIT,SmartBFT,100,150,submitEvidence,submitEvidence,9005,0,150.1,2.69,0.34,1.11,144.1,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1110.0
SmartBFT_b100_tps150,3,SUBMIT,SmartBFT,100,150,submitEvidence,submitEvidence,9005,0,150.1,3.4,0.46,1.38,143.3,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1380.0
SmartBFT_b100_tps150,4,SUBMIT,SmartBFT,100,150,submitEvidence,submitEvidence,8996,0,149.8,3.11,0.38,1.16,144.3,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1160.0
SmartBFT_b100_tps150,5,SUBMIT,SmartBFT,100,150,submitEvidence,submitEvidence,9005,0,150.1,2.94,0.55,1.49,144.3,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1490.0
SmartBFT_b100_tps150,1,RETRIEVE,SmartBFT,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,3.28,0.33,1.13,143.6,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1130.0
SmartBFT_b100_tps150,2,RETRIEVE,SmartBFT,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.26,0.28,0.73,144.7,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,730.0
SmartBFT_b100_tps150,3,RETRIEVE,SmartBFT,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.42,0.36,1.05,144.3,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1050.0
SmartBFT_b100_tps150,4,RETRIEVE,SmartBFT,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.56,0.28,0.76,144.3,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,760.0
SmartBFT_b100_tps150,5,RETRIEVE,SmartBFT,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,3.26,0.37,1.11,143.5,SmartBFT_b100_tps150_summary_metrics.csv,SmartBFT_b100_tps150,1110.0
SmartBFT_b100_tps200,1,SUBMIT,SmartBFT,100,200,submitEvidence,submitEvidence,11950,0,198.9,39.77,0.47,23.62,155.6,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,23620.0
SmartBFT_b100_tps200,2,SUBMIT,SmartBFT,100,200,submitEvidence,submitEvidence,12006,0,200.0,45.69,0.52,28.82,147.8,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,28820.0
SmartBFT_b100_tps200,3,SUBMIT,SmartBFT,100,200,submitEvidence,submitEvidence,11916,0,197.8,48.07,0.48,30.16,145.3,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,30160.0
SmartBFT_b100_tps200,4,SUBMIT,SmartBFT,100,200,submitEvidence,submitEvidence,11956,0,199.2,45.52,0.52,28.0,152.0,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,28000.0
SmartBFT_b100_tps200,5,SUBMIT,SmartBFT,100,200,submitEvidence,submitEvidence,11993,0,199.6,43.34,0.53,26.52,150.4,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,26520.0
SmartBFT_b100_tps200,1,RETRIEVE,SmartBFT,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11992,0,199.8,48.79,0.39,29.36,148.1,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,29360.0
SmartBFT_b100_tps200,2,RETRIEVE,SmartBFT,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11998,0,199.8,48.1,0.42,28.9,146.0,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,28900.0
SmartBFT_b100_tps200,3,RETRIEVE,SmartBFT,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11894,0,197.8,48.94,0.39,29.43,145.7,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,29430.0
SmartBFT_b100_tps200,4,RETRIEVE,SmartBFT,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11991,0,199.8,47.56,0.36,27.72,152.6,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,27720.0
SmartBFT_b100_tps200,5,RETRIEVE,SmartBFT,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11934,0,198.6,44.93,0.44,25.2,154.1,SmartBFT_b100_tps200_summary_metrics.csv,SmartBFT_b100_tps200,25200.0
SmartBFT_b300_tps50,1,SUBMIT,SmartBFT,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.45,0.22,1.38,49.0,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1380.0
SmartBFT_b300_tps50,2,SUBMIT,SmartBFT,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.81,0.33,1.63,49.1,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1630.0
SmartBFT_b300_tps50,3,SUBMIT,SmartBFT,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.88,0.31,1.63,48.9,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1630.0
SmartBFT_b300_tps50,4,SUBMIT,SmartBFT,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.82,0.33,1.65,49.0,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1650.0
SmartBFT_b300_tps50,5,SUBMIT,SmartBFT,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.46,0.23,1.4,49.0,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1400.0
SmartBFT_b300_tps50,1,RETRIEVE,SmartBFT,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.41,0.24,1.31,49.5,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1310.0
SmartBFT_b300_tps50,2,RETRIEVE,SmartBFT,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.38,0.19,1.33,49.2,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1330.0
SmartBFT_b300_tps50,3,RETRIEVE,SmartBFT,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.68,0.3,1.4,48.9,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1400.0
SmartBFT_b300_tps50,4,RETRIEVE,SmartBFT,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.43,0.19,1.34,49.1,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1340.0
SmartBFT_b300_tps50,5,RETRIEVE,SmartBFT,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.43,0.19,1.33,49.1,SmartBFT_b300_tps50_summary_metrics.csv,SmartBFT_b300_tps50,1330.0
SmartBFT_b300_tps100,1,SUBMIT,SmartBFT,300,100,submitEvidence,submitEvidence,6005,0,100.1,3.27,0.26,1.88,98.4,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,1880.0
SmartBFT_b300_tps100,2,SUBMIT,SmartBFT,300,100,submitEvidence,submitEvidence,6005,0,100.1,3.27,0.36,2.0,97.0,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,2000.0
SmartBFT_b300_tps100,3,SUBMIT,SmartBFT,300,100,submitEvidence,submitEvidence,6005,0,100.1,3.57,0.43,2.18,98.4,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,2180.0
SmartBFT_b300_tps100,4,SUBMIT,SmartBFT,300,100,submitEvidence,submitEvidence,6006,0,100.0,3.94,0.47,2.24,97.2,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,2240.0
SmartBFT_b300_tps100,5,SUBMIT,SmartBFT,300,100,submitEvidence,submitEvidence,6005,0,100.1,3.21,0.28,1.85,98.4,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,1850.0
SmartBFT_b300_tps100,1,RETRIEVE,SmartBFT,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.01,0.24,1.77,98.9,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,1770.0
SmartBFT_b300_tps100,2,RETRIEVE,SmartBFT,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,6.13,0.37,2.3,96.1,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,2300.0
SmartBFT_b300_tps100,3,RETRIEVE,SmartBFT,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.85,0.25,1.58,98.8,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,1580.0
SmartBFT_b300_tps100,4,RETRIEVE,SmartBFT,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.9,0.29,1.65,97.6,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,1650.0
SmartBFT_b300_tps100,5,RETRIEVE,SmartBFT,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.88,0.23,1.63,98.1,SmartBFT_b300_tps100_summary_metrics.csv,SmartBFT_b300_tps100,1630.0
SmartBFT_b300_tps150,1,SUBMIT,SmartBFT,300,150,submitEvidence,submitEvidence,9005,0,150.0,3.26,0.33,2.04,146.4,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2040.0
SmartBFT_b300_tps150,2,SUBMIT,SmartBFT,300,150,submitEvidence,submitEvidence,9005,0,150.1,3.62,0.36,2.27,145.8,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2270.0
SmartBFT_b300_tps150,3,SUBMIT,SmartBFT,300,150,submitEvidence,submitEvidence,9005,0,150.1,4.74,0.48,2.65,143.4,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2650.0
SmartBFT_b300_tps150,4,SUBMIT,SmartBFT,300,150,submitEvidence,submitEvidence,9005,0,150.1,4.06,0.49,2.55,144.8,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2550.0
SmartBFT_b300_tps150,5,SUBMIT,SmartBFT,300,150,submitEvidence,submitEvidence,9005,0,150.1,5.27,0.48,2.53,144.9,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2530.0
SmartBFT_b300_tps150,1,RETRIEVE,SmartBFT,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,3.31,0.29,1.88,146.9,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,1880.0
SmartBFT_b300_tps150,2,RETRIEVE,SmartBFT,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,3.69,0.34,2.13,146.0,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2130.0
SmartBFT_b300_tps150,3,RETRIEVE,SmartBFT,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,8998,0,149.9,3.21,0.42,2.08,146.0,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2080.0
SmartBFT_b300_tps150,4,RETRIEVE,SmartBFT,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9003,0,150.0,3.2,0.34,1.99,146.6,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,1990.0
SmartBFT_b300_tps150,5,RETRIEVE,SmartBFT,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,8996,0,149.8,3.26,0.35,2.08,146.2,SmartBFT_b300_tps150_summary_metrics.csv,SmartBFT_b300_tps150,2080.0
SmartBFT_b300_tps200,1,SUBMIT,SmartBFT,300,200,submitEvidence,submitEvidence,11945,0,199.1,48.86,0.77,27.56,151.3,SmartBFT_b300_tps200_summary_metrics.csv,SmartBFT_b300_tps200,27560.0
SmartBFT_b300_tps200,2,SUBMIT,SmartBFT,300,200,submitEvidence,submitEvidence,12005,0,200.1,41.32,0.66,22.27,158.1,SmartBFT_b300_tps200_summary_metrics.csv,SmartBFT_b300_tps200,22270.0
