scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
Raft_b10_tps150,5,SUBMIT,Raft,10,150,submitEvidence,submitEvidence,7191,1814,150.0,60.35,0.18,36.86,74.9,Raft_b10_tps150_summary_metrics.csv,Raft_b10_tps150,36860.0
Raft_b10_tps150,1,RETRIEVE,Raft,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.0,45.0,0.13,29.95,85.9,Raft_b10_tps150_summary_metrics.csv,Raft_b10_tps150,29950.0
Raft_b10_tps150,2,RETRIEVE,Raft,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,7241,1764,150.1,60.24,0.26,39.08,75.0,Raft_b10_tps150_summary_metrics.csv,Raft_b10_tps150,39080.0
Raft_b10_tps150,3,RETRIEVE,Raft,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,7159,1846,150.1,60.26,0.23,37.97,75.0,Raft_b10_tps150_summary_metrics.csv,Raft_b10_tps150,37970.0
Raft_b10_tps150,4,RETRIEVE,Raft,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,7420,1585,150.1,60.33,0.19,38.57,74.9,Raft_b10_tps150_summary_metrics.csv,Raft_b10_tps150,38570.0
Raft_b10_tps150,5,RETRIEVE,Raft,10,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,7121,1880,150.0,60.37,0.21,38.29,74.9,Raft_b10_tps150_summary_metrics.csv,Raft_b10_tps150,38290.0
Raft_b10_tps200,1,SUBMIT,Raft,10,200,submitEvidence,submitEvidence,5790,6211,199.9,60.25,0.17,38.73,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,38730.0
Raft_b10_tps200,2,SUBMIT,Raft,10,200,submitEvidence,submitEvidence,3563,8431,199.8,60.39,0.21,37.84,99.7,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,37840.0
Raft_b10_tps200,3,SUBMIT,Raft,10,200,submitEvidence,submitEvidence,3480,8525,200.1,60.29,0.19,37.45,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,37450.0
Raft_b10_tps200,4,SUBMIT,Raft,10,200,submitEvidence,submitEvidence,3350,8655,200.0,60.46,0.25,38.94,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,38940.0
Raft_b10_tps200,5,SUBMIT,Raft,10,200,submitEvidence,submitEvidence,3560,8439,199.9,60.3,0.21,37.17,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,37170.0
Raft_b10_tps200,1,RETRIEVE,Raft,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,5695,6310,200.1,60.67,0.13,39.96,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,39960.0
